ID,Field of Study,personal interest,Family advice,Consultant's recommendation,Future work and income,Social position,University brand,Near the university,Possibilities,gain experience,interest,Contnuing education,change field,refuse,state1,state2,sex,Employment state,Family Income,Location,start,end
X5eF,فنی و مهندسی,علاقه شخصی,توصیه خانواده,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,,5,5,1,2,خراسان رضوی,خراسان رضوی,خانم,شاغل (تمام وقت),بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/15-23:18:35,1402/01/15-23:20:08
k1lD,سایر رشته های علوم پزشکی (غیر پزشکی),علاقه شخصی,,,,,,,,کسب تجربه یک روند جدید در زندگی,4,4,1,1,خراسان جنوبی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-23:09:40,1402/01/15-23:11:06
FCTU,فنی و مهندسی,علاقه شخصی,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,4,3,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-22:20:31,1402/01/15-22:23:04
5TmF,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,5,1,1,5,خراسان رضوی,خراسان رضوی,آقا,شاغل (تمام وقت),کمتر از 5 میلیون تومان,روستا,1402/01/15-22:01:50,1402/01/15-22:03:31
Bpz0,کشاورزی,,,,,,برند دانشگاه از نظر علمی,,,,4,3,4,1,خراسان رضوی,خراسان رضوی,خانم,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-20:21:11,1402/01/15-20:22:31
ZUaf,فنی و مهندسی,علاقه شخصی,,,,موقعیت اجتماعی,,نزدیک بودن دانشگاه به محل زندگی,,کسب تجربه یک روند جدید در زندگی,4,3,1,2,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-19:42:57,1402/01/15-19:44:37
BHHp,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,موقعیت اجتماعی,برند دانشگاه از نظر علمی,,,,4,3,2,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-19:01:02,1402/01/15-19:04:30
iLqp,فنی و مهندسی,,,توصیه مشاور,آینده کاری و درآمدی,موقعیت اجتماعی,برند دانشگاه از نظر علمی,,,,1,2,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-18:54:39,1402/01/15-18:59:57
Thcy,فنی و مهندسی,,توصیه خانواده,,آینده کاری و درآمدی,موقعیت اجتماعی,,نزدیک بودن دانشگاه به محل زندگی,,,2,5,4,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/15-18:47:55,1402/01/15-18:49:13
xghq,کشاورزی,,,,,,برند دانشگاه از نظر علمی,,,,1,3,5,3,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,روستا,1402/01/15-18:28:13,1402/01/15-18:29:28
kSI3,کشاورزی,,,,,,برند دانشگاه از نظر علمی,,,,4,5,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بیش از 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-18:12:25,1402/01/15-18:13:30
G7AI,علوم انسانی,,,,,,,,,,3,4,4,1,خراسان جنوبی,خراسان رضوی,خانم,غیرشاغل,بیش از 20 میلیون تومان,شهر (مرکز استان),1402/01/15-18:09:32,1402/01/15-18:10:47
FDe5,علوم پایه,علاقه شخصی,,,,,,,,,4,5,2,4,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بیش از 20 میلیون تومان,شهر (مرکز استان),1402/01/15-18:03:23,1402/01/15-18:04:35
KJJF,فنی و مهندسی,,توصیه خانواده,توصیه مشاور,,,,,,,3,5,5,4,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/15-17:49:16,1402/01/15-17:50:33
1bC3,علوم انسانی,,,توصیه مشاور,آینده کاری و درآمدی,,برند دانشگاه از نظر علمی,,,کسب تجربه یک روند جدید در زندگی,3,4,2,1,خراسان جنوبی,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/15-17:49:03,1402/01/15-17:50:09
7FEo,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,5,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-17:48:02,1402/01/15-17:49:35
XNEh,علوم انسانی,علاقه شخصی,,,,,,,,,5,5,1,2,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/15-17:44:36,1402/01/15-17:46:17
